title	director	cast	country	rating	listed_in	description	show_id	release_year	date_added	duration
That Winter, the Wind Blows		Zo In-sung, Song Hye-kyo, Kim Bum, Jung Eun-ji, Bae Jong-ok, Young-hoon Kim	South Korea	TV-14	International TV Shows, Korean TV Shows, Romantic TV Shows	Seeing the chance to enrich himself by deceiving a blind heiress, clever con man Oh Soo just does what comes naturally – but his plans soon change.	70296735	2013		1
The Calling	Bumpy		India	TV-MA	International TV Shows, Reality TV	Food-crazed travel junkies journey across India, completing bucket list challenges for a chance to win a once-in-a-lifetime scholarship.	81066723	2018		1
The Devil Is a Part-Timer!		Ryota Osaka, Yoko Hikasa, Nao Toyama, Yuki Ono, Hiro Shimono, Kanae Ito, Josh Grelle, Felecia Angelle, Anthony Bowling, R. Bruce Elliott, Tia Lynn Ballard, Aaron Dismuke	Japan	TV-14	Anime Series	Thwarted in their attempt to take over the world of Ente Isla, Satan and his general Alciel land in modern-day Tokyo, where they take on human form.	80006149	2013		1
Ultraman		Ryohei Kimura, Takuya Eguchi, Megumi Han, Hideyuki Tanaka, Sumire Morohoshi, Ken Uo, Shigeru Ushiyama, Ryota Takeuchi, Eiji Hanawa, Hirokazu Sekido, Minoru Shiraishi, Kenjiro Tsuda, Hiroaki Hirata, Kaiji Soze	United States, Japan	TV-14	Anime Series, International TV Shows	Decades ago, a hero from the stars left this world in peace. Now, the son of Ultraman must rise to protect the Earth from a new alien threat.	80231373	2019		1
Bh Se Bhade		Deven Bhojani, Suchita Trivedi, Sarita Joshi, Varun Khandelwal, Bhavna Khatri, Dushyant Wagh, Gulfam Khan, Atul Parchure	India	TV-PG	International TV Shows, TV Comedies	A kind-hearted insurance agent has the mysterious power to temporarily shoulder the problems and pain of others, with comic results in his own life.	80122234	2013		1
Buddha		Himanshu Soni, Kajal Jain, Sanket Choukse, Kabir Bedi, Sameer Dharmadhikari, Jagat Singh, Reshmi Ghosh, Siddharth Vasudev, Amit Behl, Hemant Choudhary		TV-PG	International TV Shows, TV Dramas	In this historical drama series, young Prince Siddhartha undergoes an intense spiritual journey that eventually transforms him into the Buddha.	80122188	2013		1
Fallet		Lisa Henni, Adam Godley, Tomas von Brömssen, Lia Boysen, Christoffer Nordenrot, Stina Rautelin, Erik Madsen, Magnus Krepper, Meliz Karlge, Linda Nilarve, Björn Granath, Richenda Carey, Dag Malmberg	Sweden	TV-MA	Crime TV Shows, International TV Shows, TV Comedies	A Swedish detective and her timid British colleague's attempt to solve a gruesome murder case nets mixed results and miscommunication.	80208373	2017		1
Lady, la vendedora de rosas		Natalia Reyes, Michelle Orozco, Majida Issa, Ernesto Benjumea, Viña Machado, Carlos Mariño, Alberto Cardeño, Fabio Restrepo, Juan Pablo Barragán, Maria Jose Vargas	Colombia	TV-14	International TV Shows, Spanish-Language TV Shows, TV Dramas	This series tells the life story of Colombian film star Lady Tabares, who was plucked off the mean streets to star in a film and quickly rose to fame.	80036662	2015		1
Loaded		Jim Howick, Samuel Anderson, Jonny Sweet, Nick Helm, Mary McCormack, Aimee-Ffion Edwards, Lolly Adefope	United Kingdom	TV-14	British TV Shows, International TV Shows, TV Comedies	Four friends become overnight millionaires after selling their video game start-up. But their newfound status tests their friendship and resolve.	80174145	2017		1
Ramayan		Gagan Malik, Neha Sargam, Neil Bhatt	India	TV-14	International TV Shows, TV Dramas	A prince's divine destiny to rule as a king is thwarted by his stepmother's scheme to put her own child on the throne in this legendary epic.	80122233	2012		1
Badalte Rishton Ki Dastaan		Additi Gupta, Sanjeeda Sheikh, Kiran Karmarkar, Abhinav Shukla, Tanushree Kaushal, Mona Ambegaonkar	India	TV-14	International TV Shows, TV Dramas	When a man is killed, his wife and his lover – both of whom are pregnant with his children – come under the thumb of his brutal, dictatorial father.	80122193	2013		1
Burned Cocoon		Yavuz Bingöl, Basak Köklükaya, Çolpan Ilhan, Mustafa Alabora, Sedef Avcı, Ayça İnci, Tuncer Necmioğlu, Serdar Özer	Turkey	TV-14	International TV Shows, TV Dramas	A secret marriage unites two families – one wealthy and traditional, the other bankrupt and modern – and is threatened by the resulting conflicts.	80123567	2005		1
Fairy Tail		Tetsuya Kakihara, Aya Hirano, Rie Kugimiya, Yuichi Nakamura, Sayaka Ohara, Satomi Sato, Yui Horie, Hiroki Yasumoto, Ryoko Ono, Hiroki Touchi, Shinpachi Tsuji, Wataru Hatano, Mai Nakahara, Katsuyuki Konishi, Eri Kitamura, Todd Haberkorn, Cherami Leigh, Tia Lynn Ballard, Newton Pittman, Colleen Clinkenbeard, Brittney Karbowski, Jad Saxton, Christopher R. Sabat, Monica Rial, Rick Keeling, R. Bruce Elliott, David Wald, Brina Palencia, Patrick Seitz, Jamie Marchi	Japan	TV-14	Anime Series, International TV Shows	When four young wizards team up to take jobs across the kingdom, they forge a bond more powerful than any magic and grow stronger with every mission.	70266998	2010		1
Khelti Hai Zindagi Aankh Micholi		Ulka Gupta, Gautami Kapoor, Reema Shaikh, Vinay Jain, Manav Gohil, Helly Shah	India	TV-14	International TV Shows, TV Dramas	The life of a 14-year-old girl is thrown into turmoil when her father dies, forcing her mother to make hard choices for their family.	80122240	2013		1
Maharakshak: Aryan		Aakarshan Singh, Vikramjeet Virk, Reena Aggarwal, Khalid Siddiqui, Abigail Jain, Rishabh Jain	India	TV-14	International TV Shows, TV Action & Adventure, TV Sci-Fi & Fantasy	Shy nerd Aryan learns soon after his 18th birthday that he has inherited superpowers, which he must use to vanquish a variety of evil threats.	80121873	2014		1
Ouran High School Host Club	Takuya Igarashi	Maaya Sakamoto, Monica Rial, Vic Mignogna, Luci Christian, Mamoru Miyano, Kenichi Suzumura, Mike McFarland, Caitlin Glass, Ayaka Saito, Daisuke Kirii	Japan	TV-14	Anime Series, Romantic TV Shows, Teen TV Shows	New student Haruhi stumbles on the Ouran High School Host Club, an all-male group that makes money by entertaining the girls of the school.	70205014	2006		1
Razia Sultan		Pankhuri Awasthy, Saurabh Pandey, Rohit Purohit, Sooraj Tapar, Mohit Abrol, Seema Kapoor	India	TV-14	International TV Shows, Romantic TV Shows, TV Dramas	This sweeping historical drama charts the rise of a remarkable real-life figure, the first woman to ever rule the Delhi Sultanate.	80122186	2015		1
Satrangi		Deepali Sahay		TV-PG	Docuseries, International TV Shows	Young musicians from 13 states in India demonstrate their cultural heritage by performing regional folk music using traditional instruments.	80122190	2014		1
Cyborg 009 VS Devilman		Jun Fukuyama, Shintaro Asanuma, Haruka Shiraishi, Tomoaki Maeno, M・A・O, Hiroki Touchi, Takeshi Koyama, Yu Mizushima, Hozumi Goda, Ayumu Okamura, Saori Hayami, Satoshi Hino, Johnny Yong Bosch, Bryce Papenbrook, Christine Marie Cabanos, Spike Spencer, Stephanie Sheh, Michael Sinterniklaas, Keith Silverstein, Joey Lotsko, Tony Azzolino, Steve Staley, Cristina Vee, Christopher Corey Smith	Japan	TV-14	Anime Series, International TV Shows	"When a Black Ghost scientist releases newly modified cyborgs and mysterious demons appear in Tokyo, the worlds of \"Devilman\" and \"Cyborg 009\" meet."	80094557	2015		1
Yo-Kai Watch		Johnny Yong Bosch, J.W. Terry, Alicyn Packard, Melissa Hutchison, Pierre Holloway, Brent Pendergrass	United States	TV-Y7		Nate frees a mythical being trapped in a magic capsule, and the two new friends have adventures with all sorts of troublesome supernatural creatures.	80106136	2015		1
DreamWorks Happy Holidays from Madagascar		Tom McGrath, Chris Miller, Christopher Knights, John DiMaggio, Ben Stiller, Chris Rock, David Schwimmer, Jada Pinkett Smith, Cedric the Entertainer, Andy Richter, Carl Reiner	United States	TV-PG	Kids' TV, TV Comedies	Madagascar goes wild with holiday spirit in this set of Valentine's Day and Christmas-themed tales featuring everyone's favorite animal characters.	70259784	2005		1
Show Me the Money		Afdlin Shauki, Patrick Teoh, Mano Maniam, Rashid Salleh, Soefira Jaafar, Nell Ng, Juliana Ibrahim, Wandy She		TV-14	International TV Shows, TV Comedies	Four ordinary family members find their lives turned upside down when they become overnight millionaires thanks to an unlikely benefactor.	80136796	2004		2
Ripper Street		Matthew Macfadyen, Jerome Flynn, Adam Rothenberg, David Wilmot, MyAnna Buring, David Dawson, Amanda Hale, Charlene McKenna, Jonathan Barnwell, Clive Russell	United Kingdom, Ireland	TV-MA	British TV Shows, Crime TV Shows, TV Dramas	It's been six months since the last Jack the Ripper killing, and East London is hopeful that his reign of terror might have run its course.	70270745	2017		5
Haven		Emily Rose, Lucas Bryant, Nicholas Campbell, Eric Balfour, Richard Donat, John Dunsworth, Maurice Dean Wint, Adam Copeland	Canada, United States	TV-14	Classic & Cult TV, TV Horror, TV Mysteries	Residents of Haven, Maine, are plagued by supernatural afflictions. To reveal the truth, FBI agent Audrey Parker must delve into her own strange past.	70177067	2015		5
Marvel's Iron Fist		Finn Jones, Jessica Henwick, David Wenham, Jessica Stroup, Tom Pelphrey	United States	TV-MA	Crime TV Shows, TV Action & Adventure, TV Dramas	Danny Rand resurfaces 15 years after being presumed dead. Now, with the power of the Iron Fist, he seeks to reclaim his past and fulfill his destiny.	80002612	2018		2
Stretch Armstrong & the Flex Fighters		Scott Menville, Steven Yeun, Ogie Banks, Wil Wheaton, Keith David, Miguel Ferrer, David Kaye, Kate Mulgrew, Nazneen Contractor, Felicia Day	United States	TV-Y7-FV	Kids' TV	Jake Armstrong and his best friends are unexpectedly transformed into superheroes who learn to reach far beyond the limits of any ordinary teenager.	80095988	2018		2
Galavant		Joshua Sasse, Timothy Omundson, Vinnie Jones, Mallory Jansen, Karen David, Luke Youngblood	United States	TV-PG	TV Action & Adventure, TV Comedies	In a time of legend, Galavant the knight embarks on a quest to save his fair lady and become a hero in this tongue-in-cheek musical comedy.	80024113	2016		2
Elite		Danna Paola, Miguel Herrán, María Pedraza, Itzan Escamilla, Miguel Bernardeau, Jaime Lorente, Álvaro Rico, Arón Piper, Mina El Hammani, Ester Expósito, Omar Ayuso	Spain	TV-MA	Crime TV Shows, International TV Shows, Spanish-Language TV Shows	When three working-class teens enroll in an exclusive private school in Spain, the clash between them and the wealthy students leads to murder.	80200942	2019		2
Jack Whitehall: Travels with My Father		Jack Whitehall, Michael Whitehall	United Kingdom	TV-MA	British TV Shows, Docuseries, International TV Shows	Jovial comic Jack Whitehall invites his stuffy father, Michael, to travel with him through Southeast Asia in an attempt to strengthen their bond.	80186848	2019		3
Once Upon a Time	Mario Van Peebles, Ralph Hemecker, Gwyneth Horder-Payton, Milan Cheylov, Dean White, Michael Waxman, Bryan Spicer	Lana Parrilla, Robert Carlyle, Jared Gilmore, Jennifer Morrison, Ginnifer Goodwin, Josh Dallas, Colin O'Donoghue, Emilie de Ravin	United States	TV-PG	TV Dramas, TV Sci-Fi & Fantasy	In this fantasy series, a young woman is drawn to a small Maine town and discovers that it's filled with elements of the fairy tale world.	70197049	2018		7
Reign		Adelaide Kane, Megan Follows, Torrance Coombs, Toby Regbo, Jenessa Grant, Celina Sinden, Caitlin Stasey, Anna Popplewell, Alan Van Sprang, Rossif Sutherland, Jonathan Keltz, Sean Teale, Craig Parker	United States	TV-14	TV Dramas	This vivid historical drama series tells of the rise to power of Mary, Queen of Scots, amid a court full of sexual and political intrigue.	70283260	2017		4
The Vampire Diaries		Nina Dobrev, Paul Wesley, Ian Somerhalder, Steven R. McQueen, Sara Canning, Kat Graham, Candice King, Zach Roerig, Michael Trevino, Matthew Davis, Joseph Morgan	United States	TV-14	TV Dramas, TV Mysteries, TV Sci-Fi & Fantasy	Trapped in adolescent bodies, feuding vampire brothers Stefan and Damon vie for the affection of captivating teenager Elena.	70143860	2017		8
Gotham	Danny Cannon	Ben McKenzie, Donal Logue, Jada Pinkett Smith, David Mazouz, Sean Pertwee, Camren Bicondova, Robin Lord Taylor, Cory Michael Smith, Erin Richards, John Doman, Victoria Cartagena, Andrew Stewart-Jones, Larry Pine, Jessica Lucas, Maggie Geha, Charlie Tahan, Drew Powell, Morena Baccarin, Anthony Carrigan, Crystal Reed, Chris Chalk, Damian Young, Michael Buscemi, Alexander Siddig, Michael Maize	United States	TV-14	Crime TV Shows, TV Action & Adventure, TV Dramas	Long before he was commissioner, rookie cop James Gordon takes on Gotham City crime and corruption to avenge the murder of Bruce Wayne's parents.	80020542	2019		5
Real Rob		Rob Schneider, Patricia Schneider, Jamie Lissow, Miranda Scarlett Schneider	United States	TV-MA	TV Comedies	Go inside the world of comedian and actor Rob Schneider in this comedy series that follows the ups and downs of his career and family life.	80074503	2017		2
Reboot: The Guardian Code		Ty Wood, Sydney Scotia, Ajay Friese, Gabriel Darku, Hannah Vandenbygaart, Timothy E. Brummund, Bob Frazer, Octavian Kaul, Nicholas Lea, Kirsten Robek, Alex Zahara	Canada	TV-Y7-FV	Kids' TV	Four tech-savvy teens hone their skills as cyber-superheroes in a series of secret missions to save the world.	80217957	2018		2
Skylanders Academy		Justin Long, Ashley Tisdale, Jonathan Banks, Chris Diamantopoulos, Bobcat Goldthwait, Richard Steven Horvitz, Norm MacDonald, Daniel Middleton, Catherine O'Hara, Parker Posey, Jonny Rees, Jason Ritter, Susan Sarandon, Harland Williams, Daniel Wu, Dee Bradley Baker, Chris Cox, Jim Cummings, Felicia Day, John DiMaggio, Grey Griffin	South Korea, United States	TV-Y7	Kids' TV, TV Comedies	Travel the vast Skylander universe in this animated series as a ragtag group of academy graduates build trust and heart in their fight against evil.	80113201	2018		3
El Marginal		Juan Minujín, Martina Gusman, Gerardo Romano, Claudio Rissi, Carlos Portaluppi, Nicolás Furtado, Cristina Banegas, Abel Ayala	Argentina	TV-MA	Crime TV Shows, International TV Shows, Spanish-Language TV Shows	While investigating a kidnapping, an ex-cop sent to infiltrate a prison finds himself surrounded by dangerous felons who can't know his real identity.	80115297	2019		3
Explained			United States	TV-14	Docuseries	This enlightening series from Vox digs into a wide range of topics such as the rise of cryptocurrency, why diets fail, and the wild world of K-pop.	80216752	2019		2
Norsemen		Kåre Conradi, Silje Torp, Nils Jørgen Kaalstad, Marian Saastad Ottesen, Trond Fausa, Kristine Riis, Jon Øigarden, Henrik Mestad, Øystein Martinsen, Mikkel Bratt Silset, Mads Jørgensen, Nikis Theophilakis	Norway	TV-MA	International TV Shows, TV Comedies	The residents of an 8th-century Viking village experience political rivalry, social change and innovations that upend their culture and way of life.	80180182	2018		2
